col_0;symbolindex;instrumenttradingcode;LastTradedPrice;ProduceTime;col_6
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,097;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,092;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
